,accuracy,macro_f1,fit_time_s,pred_time_per_sample_ms,weighted_score
SVM_RBF,0.9312,0.9312718258432465,0.08791980000000166,0.101588959999998,0.5582503603873646
RandomForest,0.9328,0.9325570411237406,0.686064100000003,0.09710159999999632,0.6245772512246143
KNN,0.9232,0.9233292879677306,0.0021380999999998096,2.9309795199999993,0.0
PLS_DA,0.9408,0.940663731315102,0.03495380000000026,0.0013150400000029095,0.999999999999
